grupo,idioma,linea,atributos_completos
HOME,fr,777,"{""tag"":""img"",""line"":777,""alt"":""Rollers en ligne à louer chez RSB à Vila Olímpica, Barcelone"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,fr,805,"{""tag"":""img"",""line"":805,""alt"":""Vélo de ville à louer chez RSB à Vila Olímpica, Barcelone"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,fr,833,"{""tag"":""img"",""line"":833,""alt"":""Rollers classiques à louer chez RSB à la Vila Olímpica, Barcelone"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,fr,861,"{""tag"":""img"",""line"":861,""alt"":""Skateboard à louer chez RSB à Vila Olímpica, Barcelone"",""decoding"":""async"",""height"":""360"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,fr,889,"{""tag"":""img"",""line"":889,""alt"":""Longboard à louer chez RSB à Vila Olímpica, Barcelone"",""decoding"":""async"",""height"":""478"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,fr,1147,"{""tag"":""img"",""line"":1147,""alt"":""Personne portant des rollers en ligne près de Vila Olímpica, Barcelone"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/9.webp"",""width"":""800""}"
HOME,fr,1148,"{""tag"":""img"",""line"":1148,""alt"":""Longboards et casques exposés dans la boutique RSB à Vila Olímpica, Barcelone"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/skateboards-rental-barcelona.webp"",""width"":""800""}"
HOME,fr,1149,"{""tag"":""img"",""line"":1149,""alt"":""Livraison d’un scooter 125cc par RSB à Barcelone"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-scooter-barcelona.webp"",""width"":""800""}"
HOME,fr,1150,"{""tag"":""img"",""line"":1150,""alt"":""Client louant des rollers en ligne chez RSB à Vila Olímpica, Barcelone"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/2.webp"",""width"":""800""}"
HOME,fr,1151,"{""tag"":""img"",""line"":1151,""alt"":""Trois personnes en longboard sur le front de mer de la Barceloneta au coucher du soleil, Barcelone"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp"",""width"":""800""}"
